Source;Target;Weight
Inicial;38XnPvu9PmonFU9WouPXUjYbW91wa5MerL;631173362
bc1q7hlav306e37ssp943c2n3c0334m8sxc7x2rg2a;12xjTixvD2gPYWKhcnQxak5WC3JwkcHvMS;199503
1Nv2TW9iyvjTFtAVubKQbGiBTwBBpDHHk;bc1q509jj44qndw69uepkspk5pmlpf8xs50tmc4lnx;76749
1G3jRU9ZTkiVsgTszLFEhbwc8EnCwzGxUT;1G3jRU9ZTkiVsgTszLFEhbwc8EnCwzGxUT;58414421
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;388681923
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;12V5Wgw87WntS2av3XwQFYek9uvuRfYthR;759832
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;bc1qlgpj3jsmses5d920rrhxjwdthmhlfsqz729e6w95p6ljp56cmxeqkcdt7f;323636
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;bc1qj5gd97jsj9kpdr0gt89hfnmklk0tssf5w6jade;193494
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;bc1q87ntygrk9czkcn5809a8rg2mw9guqczq27nvm4;144663
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3;1Frh2SGnNVEyj5ZcSuNNQEm7XhhwBMCHUT;144179
bc1qjytj8hxxpryzy7466xjpthh79dwt8z4wmpjlf5;12V5Wgw87WntS2av3XwQFYek9uvuRfYthR;759832
bc1qjytj8hxxpryzy7466xjpthh79dwt8z4wmpjlf5;bc1qlgpj3jsmses5d920rrhxjwdthmhlfsqz729e6w95p6ljp56cmxeqkcdt7f;323636
bc1qcvlat4ls0kx0f7tllutt3qx0fc80hjyv2lm4kf;bc1qlgpj3jsmses5d920rrhxjwdthmhlfsqz729e6w95p6ljp56cmxeqkcdt7f;323636
1Hf3FdYM3U8hvqZuZwYxTX26utdu4KYoHA;bc1qj5gd97jsj9kpdr0gt89hfnmklk0tssf5w6jade;193494
bc1qdaj200vxyhj9tpq9kqm296rdmnqpaxt7ph8k0t;bc1q87ntygrk9czkcn5809a8rg2mw9guqczq27nvm4;144663
bc1q2slngkhm76mp0l73t54qr32l66prsvq5n3wm9p;1Frh2SGnNVEyj5ZcSuNNQEm7XhhwBMCHUT;144179
bc1q2slngkhm76mp0l73t54qr32l66prsvq5n3wm9p;3LtkVq2mn2Sb2JUrWhTtn1Sk2sPoanTam9;193476
bc1q2slngkhm76mp0l73t54qr32l66prsvq5n3wm9p;bc1q63hxwnrwwkrqau27hlprczwssaletxnxjcrf4w;3422074
bc1q2slngkhm76mp0l73t54qr32l66prsvq5n3wm9p;bc1qyl6wxr0d8k3ldl8uadpspyk346uxvfadrvndrq;408000
bc1q2slngkhm76mp0l73t54qr32l66prsvq5n3wm9p;1EiG91MAKbrbVD5p2YZMJot1AqRMECsAka;1010487
bc1q2slngkhm76mp0l73t54qr32l66prsvq5n3wm9p;1DXYst3KmiVVf4KHLue8ZKqXka33s4Acq1;3615578
bc1q2slngkhm76mp0l73t54qr32l66prsvq5n3wm9p;3GAuzvMV7Luxes1Gg6NNSLNYiuvpXRLUNU;96657
bc1qdng9rw87nevl75gdrk29j8y5ah4ana6uqaqjq8;3LtkVq2mn2Sb2JUrWhTtn1Sk2sPoanTam9;193476
bc1qdng9rw87nevl75gdrk29j8y5ah4ana6uqaqjq8;bc1qju7w4y645l6cj5uueqldcm5097yce6759xnqln;96726
bc1qdng9rw87nevl75gdrk29j8y5ah4ana6uqaqjq8;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;54848.30515
bc1qdng9rw87nevl75gdrk29j8y5ah4ana6uqaqjq8;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;92933.62195
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;bc1q63hxwnrwwkrqau27hlprczwssaletxnxjcrf4w;3422074
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;3LtkVq2mn2Sb2JUrWhTtn1Sk2sPoanTam9;193476
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;1EiG91MAKbrbVD5p2YZMJot1AqRMECsAka;1010487
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;1DXYst3KmiVVf4KHLue8ZKqXka33s4Acq1;3615578
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;3GAuzvMV7Luxes1Gg6NNSLNYiuvpXRLUNU;96657
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;bc1qgtyrrga7r2pg5u445k326nwrevues9aysqgeyn;27758899
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;bc1qju7w4y645l6cj5uueqldcm5097yce6759xnqln;96726
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;bc1qdrfy9lxuamh7xmeqr4celxr8x3c4602altyrvv;69457
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;bc1qfm0223hkv73m2jhz5f85ftr0nx4eestkrqg04j;96871
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;bc1qs8yvy35zs6jdvddu2rfchlhyf32pwwrx3yl5dh;118820
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;39145.45603
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;54848.30515
bc1q8asx645wdm7e206759qh2wd8pefrw5xndd392u;bc1qyl6wxr0d8k3ldl8uadpspyk346uxvfadrvndrq;408000
bc1qdng9rw87nevl75gdrk29j8y5ah4ana6uqaqjq8;1EiG91MAKbrbVD5p2YZMJot1AqRMECsAka;1010487
bc1qfyg8lgyc7wcvvdxn3lx9wg96w72j2kxrdn9dep;1DXYst3KmiVVf4KHLue8ZKqXka33s4Acq1;3615578
bc1qfyg8lgyc7wcvvdxn3lx9wg96w72j2kxrdn9dep;3GAuzvMV7Luxes1Gg6NNSLNYiuvpXRLUNU;96657
bc1ql8anvc3408e3pyh0n7sgff2fcld7j3c6f4k0kn;3GAuzvMV7Luxes1Gg6NNSLNYiuvpXRLUNU;96657
bc1ql8anvc3408e3pyh0n7sgff2fcld7j3c6f4k0kn;bc1qgtyrrga7r2pg5u445k326nwrevues9aysqgeyn;27758899
bc1ql8anvc3408e3pyh0n7sgff2fcld7j3c6f4k0kn;bc1qju7w4y645l6cj5uueqldcm5097yce6759xnqln;96726
bc1ql8anvc3408e3pyh0n7sgff2fcld7j3c6f4k0kn;3MJ1FdGH3is2eLQDKZRyExEzFb9JvHr6Xb;61994
bc1qfr5qr6ce7e7kem6ftj58v7fkt37gur7alj0d2t;bc1qgtyrrga7r2pg5u445k326nwrevues9aysqgeyn;27758899
bc1qfr5qr6ce7e7kem6ftj58v7fkt37gur7alj0d2t;bc1qju7w4y645l6cj5uueqldcm5097yce6759xnqln;96726
bc1qfsaq5heakcyxj8xxvlywuwpzpg82p39a6hz49h;bc1qju7w4y645l6cj5uueqldcm5097yce6759xnqln;96726
bc1qnefcyfuhfys7yevqtf340qqv4mrhaezvg340rc;3MJ1FdGH3is2eLQDKZRyExEzFb9JvHr6Xb;61994
bc1qnefcyfuhfys7yevqtf340qqv4mrhaezvg340rc;bc1qdrfy9lxuamh7xmeqr4celxr8x3c4602altyrvv;69457
bc1qg85s2dye4z9ektsmt5frefzqjjxxgvjjqjq747;bc1qdrfy9lxuamh7xmeqr4celxr8x3c4602altyrvv;69457
bc1qg85s2dye4z9ektsmt5frefzqjjxxgvjjqjq747;bc1qfm0223hkv73m2jhz5f85ftr0nx4eestkrqg04j;96871
bc1qg85s2dye4z9ektsmt5frefzqjjxxgvjjqjq747;bc1qs8yvy35zs6jdvddu2rfchlhyf32pwwrx3yl5dh;118820
bc1qlag254usr8m5dd8qrt76azhy3se02fg7jr4jr0;bc1qfm0223hkv73m2jhz5f85ftr0nx4eestkrqg04j;96871
bc1qsx6g2lh6wv2qskkzralfata4yd8mcjpx4v98ge;bc1qs8yvy35zs6jdvddu2rfchlhyf32pwwrx3yl5dh;118820
bc1q9swspd04x8pkz8clwqejzneztexpsufuz4wuvh;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;39145.45603
bc1qkk0q686x54fmunlfcaqtmgefsv5qhknn9jau67;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;54848.30515
bc1qkk0q686x54fmunlfcaqtmgefsv5qhknn9jau67;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;58784.9061
bc1qggv8uwfxav8q4kqrngyc3w39hcrmrta56ajfdv;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;58784.9061
3LBRYRQmN7XA46h3XNPk8YHAFXihvsJT4H;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;14559.30732
3LBRYRQmN7XA46h3XNPk8YHAFXihvsJT4H;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;43853.06734
bc1qtzrgc6sq5c3hgktlg7dk38ytgdm8fnjhnj9khl;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;43853.06734
bc1qtzrgc6sq5c3hgktlg7dk38ytgdm8fnjhnj9khl;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;92933.62195
bc1qrjyuh3fz456tj5s7naaad7lmurew7tegcg8q3s;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;92933.62195
bc1qrjyuh3fz456tj5s7naaad7lmurew7tegcg8q3s;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;75984.36787
bc1qrjyuh3fz456tj5s7naaad7lmurew7tegcg8q3s;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;64965.03598
bc1qdgln0vqk49687hvjtw0rqflwxfxl49y4q2uzdh;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;75984.36787
bc1qdgln0vqk49687hvjtw0rqflwxfxl49y4q2uzdh;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;64965.03598
bc1q42ygxqhzjhxzeuqp6j2d0kv56ftkc4d0j2t7hg;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;64965.03598
bc1q42ygxqhzjhxzeuqp6j2d0kv56ftkc4d0j2t7hg;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;90231.37892
bc1qzueptuhlyhky09ycaukk44syrxphkq35pt65w5;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;90231.37892
bc1qzueptuhlyhky09ycaukk44syrxphkq35pt65w5;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;42800.34166
bc1qqpat4qgaskwddp8lk6ryuec4tzeqf2pyme9var;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;42800.34166
bc1qqpat4qgaskwddp8lk6ryuec4tzeqf2pyme9var;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;87948.9288
bc1q9jk28x264lfchl0cjgle3nj827v6uhuc6dp640;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;87948.9288
bc1q9jk28x264lfchl0cjgle3nj827v6uhuc6dp640;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;54670.37968
bc1q6qm3nsn3q7x2z8ccdevsy7tmuerz3p490425m99ta9v2sunczj9sqtpxun;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;54670.37968
bc1qc668q4n0hthrthfrl6q9pgn8r0p76tss92hvsg;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;80520.54057
3FU8RGnGMXcaAsy9VFFQca7etj9hnmVsbN;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;41441.80659
3FU8RGnGMXcaAsy9VFFQca7etj9hnmVsbN;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;103312.6075
3FU8RGnGMXcaAsy9VFFQca7etj9hnmVsbN;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;85355.1091
bc1qu7yy2ujgmhsgvs4ww7qtafd8hxxr662fvlssw2;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;103312.6075
14RZr2dxGy5E4mg8Tu9RDSnhJXgJ2Ky9PQ;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;85355.1091
14RZr2dxGy5E4mg8Tu9RDSnhJXgJ2Ky9PQ;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;52204.44392
bc1q8wwmcxc40vhpscaf9xsaewt5uyelxsdrspcnej;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;52204.44392
bc1q8wwmcxc40vhpscaf9xsaewt5uyelxsdrspcnej;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;55403.39554
bc1q0h93njtge65fnhthw4gpgcgruncze6uvdjs9ky;3KTDagGn97NK21eiZ9PbK6JxgvUPxfp9ub;55403.39554
1Gj4eTJdTfLDiWu2nJGNkFy9Q1zHMk9HhQ;bc1qfyg8lgyc7wcvvdxn3lx9wg96w72j2kxrdn9dep;6322
bc1q2twahrk3cr54em2z3q9fcw3f86njq4hpvm0qq6;bc1qzsq6c9mnxhjak4kwhg66c6u7qenjhgalfqcm0t;967334
bc1q2d23xucrf0jwat9ulsvlcpkhw5ywxczx5zzwx4;bc1qlyyct8xxnmfq8tdh5xnxvd74r29tqvnq4sc3nd;24838.22305
14UxJDPov6b9asdtYc3KhyqdWFL4KSBvkM;bc1ql8anvc3408e3pyh0n7sgff2fcld7j3c6f4k0kn;43682.17629
17yrsiLR3EEKijauq5eBe8LsvpMyB1xqZu;bc1qlyyct8xxnmfq8tdh5xnxvd74r29tqvnq4sc3nd;2737512.777
1PThMDpshAb2D6Lin56GgRWd2zZRShD3po;bc1ql8anvc3408e3pyh0n7sgff2fcld7j3c6f4k0kn;4814374.824
